db_7fxi6_hsu_r8gus_北京市小学_小学_fid,序号,名称,学校类别,电话,地址,x,y
,1.000000000000000,北京景山学校,17一贯制学校小学部,010-65252555,北京市东城区灯市口大街53号,116.415003366895192,39.919046897077145
,4.000000000000000,北京市东城区师范学校附属小学,11小学,010-64263926,北京市东城区安定门外东河沿乙7号,116.410727860453250,39.950725607362351
,5.000000000000000,北京市东城区北锣鼓巷小学,11小学,010-64072883,北京市东城区安定门内千福巷5号,116.401935057027529,39.947572586595108
,7.000000000000000,北京市东城区和平里第一小学,11小学,010-84216918,北京市东城区和平里中街甲21号,116.419540622648029,39.957821796490116
,8.000000000000000,北京市东城区和平里第九小学,11小学,010-64213889,北京市东城区和平里七区20号楼,116.421835040257889,39.960733508710454
,9.000000000000000,北京市东城区青年湖小学,11小学,010-84116716,北京市东城区安德里北街20号,116.398611763888411,39.957036498450655
,10.000000000000000,北京市东城区和平里第四小学,11小学,010-64211026,北京市东城区和平里交林夹道1号,116.429123360517067,39.958031353433597
,12.000000000000000,北京市东城区分司厅小学,11小学,010-64041261,北京市东城区鼓楼东大街小经厂胡同2号,116.405211914452991,39.943500966831081
,13.000000000000000,北京市东城区黑芝麻胡同小学,11小学,010-64045815,北京市东城区黑芝麻胡同11号,116.401806800961140,39.938497345272957
,14.000000000000000,北京市东城区史家小学分校,11小学,010-84070081,北京市东城区北门仓胡同1号,116.431098740555598,39.935445424376105
,15.000000000000000,北京市东城区西中街小学,11小学,010-64172386,北京市东城区东直门外十字坡东里10号楼,116.440911929532774,39.940447109862419
,16.000000000000000,中央工艺美院附中艺美小学,11小学,010-64677028,北京市东城区东直门外胡家园20号,116.444781203430239,39.945307326934937
,17.000000000000000,北京市东城区雍和宫小学,11小学,010-64045703,北京市东城区藏经馆胡同27号,116.418594383141752,39.947621397973258
,18.000000000000000,北京市东城区北新桥小学,11小学,010-64675636,北京市东城区东直门北大街乙2号,116.435249518615294,39.948376923448244
,20.000000000000000,北京市东城区东高房小学,11小学,010-64032310,北京市东城区沙滩北街东高房胡同13号,116.402848292430221,39.926733979981655
